Região,Produto,Vendas
Nordeste,Produt_A,350.58633142332366
Sul,Produto_E,284.4012886546579
Centro-Oeste,Produto_G,348.6514403263931
Centro-Oeste,Produto_E,39.563002690573
Norte,Produto_H,137.9990384892894
Centro-Oeste,Produto_F,438.2666065360883
Nordeste,Produto_E,493.7630133092111
Sul,Produt_A,461.34140981259725
Nordeste,Produto_G,117.27169823664552
Sul,Produto_D,148.6560577021368
Sudeste,Produto_E,21.708537752127054
Nordeste,Produto_E,353.7215452321156
Sudeste,Produto_C,470.78369579469495
Norte,Produto_D,122.79982238547105
Nordeste,Produto_H,304.6288563211612
Centro-Oeste,Produto_B,455.5304022555557
Sudeste,Produto_C,334.50615032704263
Sudeste,Produt_A,292.74841557251216
Sudeste,Produto_G,113.27270546487178
Centro-Oeste,Produto_G,430.8416230159126
Sudeste,Produt_A,411.81573642449104
Centro-Oeste,Produto_B,36.066824802813315
Norte,Produto_E,9.0333489517051
Centro-Oeste,Produto_C,494.2544882864172
Centro-Oeste,Produt_A,408.2643430355387
Norte,Produto_G,82.39807486667084
Sudeste,Produto_C,329.6025465848206
Sul,Produto_E,378.9373691504709
Centro-Oeste,Produto_D,214.79088149601134
Centro-Oeste,Produto_C,244.69129302179888
Nordeste,Produto_B,450.9638199083207
Norte,Produto_F,160.50141623879182
Sudeste,Produto_B,236.07944905953997
Nordeste,Produto_C,311.61830159662776
Sul,Produto_D,64.0977650293586
Sudeste,Produto_B,255.91283272793558
Nordeste,Produto_D,362.3608257214141
Norte,Produto_H,0.3921870845681741
Nordeste,Produto_E,136.74145781951492
Nordeste,Produto_C,88.54011986687782
Sudeste,Produto_D,412.7301269666517
Centro-Oeste,Produto_D,386.37224380695585
Nordeste,Produto_F,369.31001647659065
Centro-Oeste,Produto_B,260.1174620484698
Sul,Produto_F,284.5751525293201
Sul,Produto_C,466.53162417480786
Sul,Produto_G,15.394034901621833
Norte,Produto_G,109.16111118359872
Norte,Produto_H,483.8287787031537
Sudeste,Produto_H,470.5467913257936
Nordeste,Produto_C,413.2915946022926
Sudeste,Produto_F,335.5694576552512
Norte,Produto_B,172.10390489426058
Nordeste,Produto_B,150.76796364162885
Sudeste,Produto_F,272.5197775977038
Norte,Produto_E,139.6114356120088
Sudeste,Produto_C,75.29516881000991
Nordeste,Produto_B,262.74060932043443
Nordeste,Produto_G,459.2507002593994
Sudeste,Produto_C,350.92183515665187
Sul,Produto_E,15.239573613807178
Nordeste,Produto_H,355.5964058654676
Nordeste,Produto_G,407.2167648681245
Centro-Oeste,Produto_C,204.43991678723106
Sul,Produt_A,469.35303807945667
Sudeste,Produt_A,61.89943421865907
Nordeste,Produto_F,222.00777370406323
Nordeste,Produt_A,276.3313179117409
Norte,Produto_B,314.9302491944134
Sudeste,Produto_F,278.55368005994654
Sudeste,Produto_B,344.50059024600023
Sudeste,Produto_C,367.0801619611801
Norte,Produto_F,45.15933194623928
Centro-Oeste,Produto_E,158.1149567682955
Centro-Oeste,Produto_D,393.6724316402592
Nordeste,Produto_F,62.09743794199074
Sul,Produt_A,42.20985137602318
Sul,Produto_C,491.34484445030336
Norte,Produto_H,286.91680711796334
Nordeste,Produto_B,392.0477556312387
Centro-Oeste,Produto_G,133.30778122565283
Sudeste,Produto_E,37.69884895868658
Norte,Produto_B,443.08569558911194
Sudeste,Produto_H,240.79668079199666
Centro-Oeste,Produto_F,103.97838744344779
Sul,Produto_D,173.59795564578644
Nordeste,Produto_F,175.28680713299354
Norte,Produto_G,70.98319788359025
Norte,Produto_G,34.698413612110954
Sul,Produto_F,284.23220304769814
Nordeste,Produto_G,482.6577245473902
Norte,Produto_F,51.998469660088475
Sudeste,Produto_F,482.8071082429843
Norte,Produto_G,146.183407214105
Nordeste,Produto_B,3.7084116405958767
Sudeste,Produto_D,285.23756586899935
Centro-Oeste,Produto_H,85.95732423607433
Nordeste,Produto_G,170.2055156721231
Sul,Produto_G,203.74164766052226
Centro-Oeste,Produto_D,292.01259407747284
