Região,Produto,Vendas
Sudeste,Produto_C,222.15664738176272
Sul,Produto_G,322.92401430606463
Sudeste,Produto_F,426.25659061507594
Centro-Oeste,Produto_H,46.159227563889516
Centro-Oeste,Produto_G,66.9998691539928
Centro-Oeste,Produto_E,6.198133632709046
Centro-Oeste,Produto_E,214.35697029742713
Norte,Produto_C,336.87859523137985
Centro-Oeste,Produto_E,410.7167837349786
Sudeste,Produto_F,246.0515926590952
Nordeste,Produto_B,496.6933392278538
Nordeste,Produto_A,480.6389169281929
Centro-Oeste,Produto_E,173.03002376549648
Centro-Oeste,Produto_C,105.26217126967907
Sul,Produto_C,392.33722856217423
Centro-Oeste,Produto_H,252.32680378069304
Centro-Oeste,Produto_E,284.3505926097539
Centro-Oeste,Produto_D,80.41200128034043
Sul,Produto_F,432.49207566327533
Sul,Produto_A,246.18702122258185
Sudeste,Produto_E,164.73265873955717
Nordeste,Produto_G,495.84980915140846
Sudeste,Produto_E,265.9653418899893
Sudeste,Produto_A,252.40248200573345
Nordeste,Produto_B,137.14635677342434
Nordeste,Produto_D,238.4049422318682
Sul,Produto_B,264.8628874071656
Norte,Produto_G,223.3101166223656
Nordeste,Produto_G,112.50541590034463
Norte,Produto_C,212.84341588452
Norte,Produto_D,43.91318421847612
Nordeste,Produto_B,135.6358188421497
Norte,Produto_A,391.2233954206235
Nordeste,Produto_B,302.77315454723043
Norte,Produto_H,90.3454106088753
Nordeste,Produto_C,343.55850349090224
Nordeste,Produto_F,202.09725229348973
Sul,Produto_D,299.99828650381085
Norte,Produto_E,10.570405988421571
Sudeste,Produto_A,232.48451460505382
Nordeste,Produto_F,228.48489234451645
Nordeste,Produto_B,358.95999133072
Sul,Produto_G,341.11936045701293
Nordeste,Produto_D,72.42926860090931
Sudeste,Produto_G,425.5736909220482
Nordeste,Produto_B,135.51603536652252
Norte,Produto_D,97.72578174999391
Sudeste,Produto_B,275.37581317309315
Centro-Oeste,Produto_G,495.8025512333299
Sudeste,Produto_G,432.9922465479948
Sudeste,Produto_F,121.39751169515777
Sudeste,Produto_E,142.81173758472426
Norte,Produto_F,205.95070600857613
Nordeste,Produto_C,290.2438704238718
Sul,Produto_H,494.09208521493053
Sudeste,Produto_A,411.8904699426536
Centro-Oeste,Produto_A,71.29168922916246
Norte,Produto_G,404.8437304650808
Sul,Produto_G,86.27546637314931
Centro-Oeste,Produto_B,264.20573826915154
Nordeste,Produto_E,79.60735127694663
Sul,Produto_F,290.3779793730096
Norte,Produto_E,343.4637345236549
Centro-Oeste,Produto_A,355.7974875440028
Norte,Produto_B,288.8313922188566
Norte,Produto_B,318.5084104682404
Nordeste,Produto_D,413.0516712660691
Nordeste,Produto_A,475.96074905210554
Sul,Produto_F,81.96977168736686
Sudeste,Produto_A,216.951536472555
Sudeste,Produto_G,194.43099858287604
Sudeste,Produto_E,254.01131923945442
Nordeste,Produto_B,156.12104080816462
Sudeste,Produto_G,253.9284636147574
Sudeste,Produto_H,209.72427884664447
Norte,Produto_C,183.685370161708
Sul,Produto_A,429.28631851093394
Nordeste,Produto_H,271.40112760411307
Centro-Oeste,Produto_C,94.49502165008111
Sudeste,Produto_D,488.9056405755704
Nordeste,Produto_G,152.1234218038142
Sul,Produto_F,347.69257454578695
Sudeste,Produto_D,409.595157696551
Nordeste,Produto_D,103.96314843010573
Sul,Produto_G,262.02194429395524
Nordeste,Produto_F,167.7825261578368
Sudeste,Produto_E,388.4864633560425
Sul,Produto_B,61.87817383084232
Sul,Produto_C,145.92810984367182
Nordeste,Produto_G,473.0382529492345
Sudeste,Produto_G,391.3288009532381
Sul,Produto_A,371.86868191546796
Norte,Produto_G,84.12535738456306
Nordeste,Produto_A,359.8429720487052
Sul,Produto_F,494.32761773068376
Centro-Oeste,Produto_F,32.5682916787568
Sudeste,Produto_A,490.5343612545894
Centro-Oeste,Produto_C,317.90688079288327
Sudeste,Produto_A,235.6998125009639
Sudeste,Produto_A,166.60013169411104
